Critic_Count,Critic_Score,Developer,EU_Sales,Genre,Global_Sales,JP_Sales,NA_Sales,Name,Number_of_Records,Other_Sales,Publisher,Rating,User_Count,User_Score,Year_of_Release
0,0,Nintendo,3312K,Role-Playing,11680000,2667K,2917K,Pokemon Omega Ruby/Pokemon Alpha Sapphire,1,491K,Nintendo,E,0,0,2014
74,8.9,Polyphony Digital,0K,Racing,11660000,889K,2917K,Gran Turismo 4,1,7362K,Sony Computer Entertainment,E,272,8.5,2004
73,9.7,Nintendo,3312K,Platform,11350000,889K,5835K,Super Mario Galaxy,1,491K,Nintendo,E,2147,8.9,2007
0,0,Nintendo,1104K,Adventure,11180000,2667K,5835K,Super Mario Land 2: 6 Golden Coins,1,0K,Nintendo,E,0,0,1992
190,9.533333333,Rockstar North,6624K,Action,22390000,444K,10211K,Grand Theft Auto IV,1,2454K,Take-Two Interactive,M,8083,7.333333333,2008
16,9.6,Polyphony Digital,3312K,Racing,10950000,2222K,2917K,Gran Turismo,1,491K,Sony Computer Entertainment,E,138,8.7,1997
82,9,Nintendo,2208K,Platform,10810000,1778K,4376K,Super Mario 3D Land,1,491K,Nintendo,E,921,8.4,2011
82,8.4,Polyphony Digital,4416K,Racing,10700000,444K,2917K,Gran Turismo 5,1,1963K,Sony Computer Entertainment,E,1112,7.5,2010
0,0,Nintendo,1104K,Platform,10550000,1778K,5835K,Super Mario All-Stars,1,0K,Nintendo,E,0,0,1993
0,0,Nintendo,2208K,Role-Playing,10490000,3111K,2917K,Pokemon FireRed/Pokemon LeafGreen,1,0K,Nintendo,E,0,0,2004
101,7.38,Infinity Ward,8832K,Shooter,27400000,444K,14587K,Call of Duty: Ghosts,1,2945K,Activision,M,5684,3.32,2013
54,7.3,Ubisoft,3312K,Misc,12760000,0K,7293K,Just Dance 3,1,982K,Ubisoft,E10+,40,7.166666667,2011
70,7.8,Nintendo,2208K,Platform,9900000,2222K,2917K,New Super Mario Bros. 2,1,491K,Nintendo,E,424,7.2,2012
0,0,Nintendo,1104K,Racing,9870000,2222K,4376K,Mario Kart 64,1,0K,Nintendo,E,0,0,1996
99,9.1,Bungie,1104K,Shooter,9860000,0K,5835K,Halo: Reach,1,491K,Microsoft Game Studios,M,2045,7.9,2010
20,9.2,SquareSoft,2208K,Role-Playing,9720000,3111K,2917K,Final Fantasy VII,1,491K,Sony Computer Entertainment,T,1282,9.2,1997
87,8.7,343 Industries,2208K,Shooter,9710000,0K,5835K,Halo 4,1,491K,Microsoft Game Studios,M,3260,7,2012
23,9.3,Polyphony Digital,3312K,Racing,9490000,1333K,2917K,Gran Turismo 2,1,491K,Sony Computer Entertainment,T,135,9,1999
24,7.4,Ubisoft,2208K,Misc,9440000,0K,4376K,Just Dance 2,1,491K,Ubisoft,E10+,24,7.3,2010
176,8.875,Infinity Ward,5520K,Shooter,18190000,0K,8752K,Call of Duty 4: Modern Warfare,1,1963K,Activision,M,4709,8.05,2007
26,7.8,Nintendo,2208K,Platform,13530000,3556K,5835K,Donkey Kong Country,1,0K,Nintendo,E,53,8.9,1994
0,0,Microsoft Game Studios,7728K,Misc,24160000,889K,10211K,Minecraft,1,2454K,Microsoft Game Studios,E,0,0,2013
70,8.8,Nintendo,2208K,Simulation,9160000,4000K,1459K,Animal Crossing: New Leaf,1,0K,Nintendo,E,626,8.7,2012
27,7.2,Hudson Soft,1104K,Misc,8910000,1778K,4376K,Mario Party DS,1,491K,Nintendo,E,85,7.8,2007
137,9.4,Bethesda Game Studios,7728K,Role-Playing,21150000,0K,8752K,The Elder Scrolls V: Skyrim,1,2454K,Bethesda Softworks,M,15189,7.633333333,2011
0,0,Nintendo,1104K,Racing,8760000,3556K,2917K,Super Mario Kart,1,0K,Nintendo,E,0,0,1992
97,8.233333333,EA Sports,11041K,Sports,16300000,0K,2917K,FIFA 16,1,1963K,Electronic Arts,E,1754,3.84,2015
123,8.35,Bungie Software,1104K,Shooter,8580000,0K,5835K,Halo 2,1,0K,Microsoft Game Studios,M,1434,6.9,2004
42,6.8,Nd Cube,3312K,Misc,8380000,2222K,1459K,Wii Party,1,491K,Nintendo,E,54,7.4,2010
41,6.2,Hudson,2208K,Misc,8270000,1333K,2917K,Mario Party 8,1,491K,Nintendo,E,190,6.3,2007
133,7.633333333,Electronic Arts,9937K,Action,15960000,0K,1459K,FIFA Soccer 13,1,2945K,Electronic Arts,E,1231,4.7625,2012
0,0,Nintendo,1104K,Shooter,8090000,0K,4376K,GoldenEye 007,1,0K,Nintendo,E,0,0,1997
0,0,Nintendo,1104K,Role-Playing,8070000,3111K,1459K,Pokemon Black 2/Pokemon White 2,1,0K,Nintendo,E,0,0,2012
53,9.2,SquareSoft,1104K,Role-Playing,8050000,2667K,1459K,Final Fantasy X,1,0K,Sony Computer Entertainment,T,1056,8.7,2001
194,7.3,The Sims Studio,8832K,Simulation,15070000,0K,2917K,The Sims 3,1,982K,Electronic Arts,T,1094,5.55,2009
0,0,Sega,5520K,Sports,13080000,889K,2917K,Mario & Sonic at the Olympic Games,1,1472K,Sega,T,0,0,2007
0,0,Electronic Arts,4416K,Shooter,12190000,0K,4376K,Star Wars Battlefront (2015),1,1472K,Electronic Arts,E,0,0,2015
24,9,SquareSoft,1104K,Role-Playing,7860000,3556K,1459K,Final Fantasy VIII,1,0K,SquareSoft,T,644,8.6,1999
0,0,Atari,0K,Puzzle,9030000,444K,7293K,Pac-Man,1,0K,Atari,E,0,0,1982
46,8.3,Game Freak,1104K,Role-Playing,7720000,2667K,1459K,Pokémon Platinum Version,1,491K,Nintendo,E,203,8.5,2008
114,8.3,Rockstar Leeds,3312K,Action,11230000,0K,4376K,Grand Theft Auto: Liberty City Stories,1,1963K,Take-Two Interactive,M,563,7.7,2005
110,8.066666667,Sledgehammer Games,7728K,Shooter,21990000,0K,10211K,Call of Duty: Advanced Warfare,1,2454K,Activision,M,3905,5.06,2014
0,0,Nintendo,2208K,Action,11930000,1778K,5835K,The Legend of Zelda: Ocarina of Time,1,0K,Nintendo,E,0,0,1998
103,8.433333333,"EA Sports, EA Vancouver",7728K,Sports,11470000,0K,0K,FIFA 17,1,982K,Electronic Arts,E,803,3.94,2016
0,0,Sony Computer Entertainment,1104K,Platform,7580000,889K,2917K,Crash Bandicoot 2: Cortex Strikes Back,1,0K,Sony Computer Entertainment,RP,0,0,1997
0,0,Nintendo,2208K,Fighting,12420000,3111K,5835K,Super Smash Bros. for Wii U and 3DS,1,491K,Nintendo,E,0,0,2014
87,9.7,Nintendo EAD Tokyo,2208K,Platform,7510000,889K,2917K,Super Mario Galaxy 2,1,491K,Nintendo,E,1854,9.1,2010
0,0,Nintendo,1104K,Platform,7460000,444K,4376K,Super Mario Bros. 2,1,0K,Nintendo,E,0,0,1988
196,8.2,Treyarch,4416K,Shooter,15780000,0K,8752K,Call of Duty: World at War,1,1472K,Activision,M,1808,7.62,2008
156,8.6,EA DICE,5520K,Shooter,17270000,0K,7293K,Battlefield 3,1,1963K,Electronic Arts,M,8829,7.466666667,2011
115,8.2,EA Black Box,3312K,Racing,10460000,0K,4376K,Need for Speed Underground,1,982K,Electronic Arts,E,583,8.56,2003
21,4.9,Ubisoft Paris,2208K,Misc,7200000,0K,2917K,Just Dance,1,491K,Ubisoft,E10+,110,8,2009
135,8.633333333,Bethesda Game Studios,4416K,Role-Playing,12670000,0K,4376K,Fallout 4,1,1472K,Bethesda Softworks,M,13489,6.033333333,2015
15,9.6,Namco,2208K,Fighting,7160000,1333K,2917K,Tekken 3,1,0K,Sony Computer Entertainment,T,367,9.1,1998
89,9.55,Nintendo,2208K,Action,8740000,444K,4376K,The Legend of Zelda: Twilight Princess,1,491K,Nintendo,T,2226,9.1,2006
0,0,Nintendo,1104K,Role-Playing,7140000,2222K,2917K,Pokemon Sun/Moon,1,0K,Nintendo,E,0,0,2016
12,9.1,Naughty Dog,1104K,Platform,7130000,1333K,2917K,Crash Bandicoot 3: Warped,1,0K,Sony Computer Entertainment,E,432,8.9,1998
82,8.8,Nintendo,1104K,Racing,7090000,889K,2917K,Mario Kart 8,1,491K,Nintendo,E,1599,9.1,2014
38,9.2,HAL Labs,0K,Fighting,7070000,1333K,4376K,Super Smash Bros. Melee,1,0K,Nintendo,T,568,9.1,2001
0,0,Nintendo,1104K,Racing,6950000,444K,2917K,Mario Kart: Double Dash!!,1,0K,Nintendo,E,0,0,2003
126,7.56,EA Canada,3312K,Racing,10950000,0K,4376K,Need for Speed Underground 2,1,982K,Electronic Arts,E,604,8.2,2004
63,8.3,EA LA,2208K,Shooter,8910000,0K,4376K,Medal of Honor: Frontline,1,982K,Electronic Arts,T,174,7.766666667,2002
0,0,Sony Computer Entertainment,2208K,Platform,6820000,889K,2917K,Crash Bandicoot,1,0K,Sony Computer Entertainment,RP,0,0,1996
52,7.35,Ubisoft,2208K,Misc,8740000,0K,4376K,Just Dance 4,1,491K,Ubisoft,E10+,130,7.475,2012
90,9.3,Epic Games,1104K,Shooter,6750000,0K,2917K,Gears of War 2,1,491K,Microsoft Game Studios,M,2739,7.7,2008
97,9.2,Naughty Dog,2208K,Action,6740000,0K,1459K,Uncharted 3: Drake's Deception,1,982K,Sony Computer Entertainment,T,3712,8.3,2011
105,9.6,Naughty Dog,1104K,Action,6660000,0K,2917K,Uncharted 2: Among Thieves,1,491K,Sony Computer Entertainment,T,5187,8.8,2009
0,0,Electronic Arts,7728K,Sports,13060000,0K,1459K,FIFA 12,1,1963K,Electronic Arts,E,0,0,2011
45,7.4,Nintendo,2208K,Misc,6620000,1333K,1459K,Big Brain Academy,1,491K,Nintendo,E,27,7.4,2005
0,0,Nintendo,0K,Action,6510000,1333K,2917K,The Legend of Zelda,1,0K,Nintendo,E,0,0,1986
169,9.5,Rockstar San Diego,4416K,Action,12810000,0K,5835K,Red Dead Redemption,1,1472K,Take-Two Interactive,M,4772,8.9,2010
132,8.64,EA Canada,9937K,Sports,16480000,0K,1459K,FIFA 14,1,2454K,Electronic Arts,E,2507,4.3375,2013
149,8.35,Ubisoft,4416K,Action,13020000,0K,5835K,Assassin's Creed III,1,1472K,Ubisoft,M,4208,6.725,2012
77,8.7,Retro Studios,2208K,Platform,8330000,1333K,2917K,Donkey Kong Country Returns,1,491K,Nintendo,E,368,8.6,2010
108,9,Bungie Software,1104K,Shooter,6470000,0K,4376K,Halo: Combat Evolved,1,0K,Microsoft Game Studios,M,1679,8,2001
28,7.6,Game Freak,1104K,Role-Playing,6410000,1778K,1459K,Pokémon Emerald Version,1,0K,Nintendo,E,222,9,2004
46,8.5,SquareSoft,1104K,Role-Playing,8140000,1333K,4376K,Kingdom Hearts,1,0K,Sony Computer Entertainment,E,597,8.8,2002
0,0,Nintendo,1104K,Role-Playing,6390000,889K,1459K,Pokémon Crystal Version,1,982K,Nintendo,E,0,0,2000
94,8.3,"Bungie Software, Bungie",1104K,Shooter,6340000,0K,2917K,Halo 3: ODST,1,491K,Microsoft Game Studios,M,1163,7.1,2009
61,9.2,Nintendo,1104K,Platform,6310000,444K,2917K,Super Mario Sunshine,1,0K,Nintendo,E,439,8.6,2002
0,0,Capcom,0K,Fighting,6300000,2667K,1459K,Street Fighter II: The World Warrior,1,0K,Capcom,T,0,0,1992
57,9.3,Blizzard Entertainment,5520K,Role-Playing,6290000,0K,0K,World of Warcraft,1,0K,Activision,T,2182,7.3,2004
22,8.7,Reflections Interactive,2208K,Action,6270000,0K,2917K,Driver,1,0K,GT Interactive,T,78,8.1,1999
96,9.1,Epic Games,1104K,Shooter,6210000,0K,2917K,Gears of War 3,1,491K,Microsoft Game Studios,M,1504,7.8,2011
51,7.3,Rare Ltd.,1104K,Sports,6190000,0K,2917K,Kinect Sports,1,491K,Microsoft Game Studios,E10+,95,7.4,2010
124,9.05,Epic Games,1104K,Shooter,6110000,0K,2917K,Gears of War,1,491K,Microsoft Game Studios,M,2862,8.05,2006
89,8.2,EA Sports,11041K,Sports,17340000,0K,2917K,FIFA 15,1,1963K,Electronic Arts,E,2001,4.225,2014
42,9.6,KCEJ,1104K,Action,6050000,444K,1459K,Metal Gear Solid 2: Sons of Liberty,1,491K,Konami Digital Entertainment,M,1026,8.7,2001
0,0,Sega,1104K,Platform,6030000,0K,4376K,Sonic the Hedgehog 2,1,0K,Sega,T,0,0,1992
20,9.4,KCEJ,1104K,Action,6100000,444K,2917K,Metal Gear Solid,1,0K,Konami Digital Entertainment,M,918,9.4,1998
82,9.4,Kojima Productions,1104K,Action,5990000,444K,1459K,Metal Gear Solid 4: Guns of the Patriots,1,491K,Konami Digital Entertainment,M,3558,8.7,2008
64,9.2,Square Enix,0K,Role-Playing,5950000,2222K,1459K,Final Fantasy XII,1,1472K,Square Enix,T,972,7.6,2006
98,9.5,Naughty Dog,3312K,Action,10580000,0K,2917K,The Last of Us,1,1472K,Sony Computer Entertainment Europe,M,8003,9.1,2013
153,9.1,"SCE/WWS, Media Molecule",2208K,Platform,8360000,0K,2917K,LittleBigPlanet,1,1472K,Sony Computer Entertainment,E,5409,7.3,2008
28,7.4,Capcom,1104K,Action,6440000,1778K,1459K,Resident Evil 2,1,0K,Virgin Interactive,M,395,8.85,1998
65,8.7,Level 5,0K,Role-Playing,5780000,4000K,0K,Dragon Quest IX: Sentinels of the Starry Skies,1,0K,Nintendo,E10+,197,8.8,2009
8,8.9,Namco,1104K,Fighting,5740000,1333K,1459K,Tekken 2,1,0K,Sony Computer Entertainment,T,102,8.9,1996
106,7.55,"Bungie Software, Bungie",3312K,Shooter,12550000,0K,5835K,Destiny,1,1472K,Activision,T,8064,5.2,2014
68,8,Traveller's Tales,4416K,Action,15260000,0K,8752K,LEGO Star Wars: The Complete Saga,1,1472K,LucasArts,E10+,309,7.1,2007
35,6.7,Taito Corporation,1104K,Simulation,5630000,0K,2917K,Cooking Mama,1,491K,505 Games,E,21,7.2,2006
0,0,Nintendo,0K,Fighting,5550000,1778K,2917K,Super Smash Bros.,1,0K,Nintendo,E,0,0,1999
174,8.9,Ubisoft Montreal,3312K,Action,11360000,0K,4376K,Assassin's Creed II,1,982K,Ubisoft,M,4118,8.1,2009
117,8.1,Ubisoft Montreal,4416K,Adventure,11270000,0K,4376K,Assassin's Creed,1,982K,Ubisoft,M,1843,7.5,2007
90,9.2,Turn 10,1104K,Racing,5490000,0K,2917K,Forza Motorsport 3,1,491K,Microsoft Game Studios,E,516,8,2009
19,8.4,Nintendo,1104K,Platform,5490000,889K,2917K,Super Mario Advance,1,0K,Nintendo,E,41,7.8,2001
48,8.1,Capcom,0K,Role-Playing,5480000,4000K,0K,Monster Hunter Freedom Unite,1,0K,Capcom,T,124,8.7,2008
156,9.366666667,Rocksteady Studios,3312K,Action,11100000,0K,5835K,Batman: Arkham City,1,982K,Warner Bros. Interactive Entertainment,T,5481,8.633333333,2011
24,9.3,Intelligent Systems,1104K,Racing,5470000,889K,1459K,Mario Kart: Super Circuit,1,0K,Nintendo,E,108,8.3,2001
0,0,Nintendo,1104K,Strategy,5450000,889K,2917K,Pokemon Stadium,1,0K,Nintendo,E,0,0,1999
49,6.6,Traveller's Tales,2208K,Platform,7240000,0K,2917K,Crash Bandicoot: The Wrath of Cortex,1,491K,Universal Interactive,E,197,7.5,2001
113,9.3,Naughty Dog,2208K,Shooter,5380000,0K,1459K,Uncharted 4: A Thief's End,1,491K,Sony Computer Entertainment,T,7064,7.9,2016
0,0,Nintendo,1104K,Puzzle,10190000,3111K,4376K,Dr. Mario,1,0K,Nintendo,E,0,0,1989
137,8.25,Square Enix,1104K,Role-Playing,7490000,1778K,2917K,Final Fantasy XIII,1,491K,Square Enix,T,3022,6.8,2009
0,0,Nintendo,1104K,Misc,5310000,889K,2917K,Pokemon Pinball,1,0K,Nintendo,E,0,0,1999
22,9.4,SquareSoft,0K,Role-Playing,5300000,2667K,1459K,Final Fantasy IX,1,0K,SquareSoft,T,779,8.9,2000
45,8.5,SquareSoft,0K,Role-Playing,5290000,1778K,1459K,Final Fantasy X-2,1,0K,Electronic Arts,T,400,6.6,2003
0,0,Nintendo,0K,Platform,5270000,889K,2917K,Donkey Kong 64,1,0K,Nintendo,E,0,0,1999
13,8.5,Core Design Ltd.,3312K,Action,7530000,0K,2917K,Tomb Raider II,1,0K,Eidos Interactive,T,37,8.3,1997
84,8.75,EA Tiburon,0K,Sports,7140000,0K,5835K,Madden NFL 2004,1,491K,Electronic Arts,E,210,7.775,2006
0,0,Nintendo,1104K,Simulation,5230000,1778K,0K,Tomodachi Life,1,0K,Nintendo,E,0,0,2013
70,8.4,Nintendo,1104K,Platform,5220000,889K,1459K,New Super Mario Bros. U,1,0K,Nintendo,E,733,8.1,2012
63,8.9,Level 5,0K,Role-Playing,6070000,4445K,0K,Dragon Quest VIII: Journey of the Cursed King,1,0K,Square Enix,T,245,8.8,2004
72,8.5,Level 5,2208K,Puzzle,5190000,889K,0K,Professor Layton and the Curious Village,1,491K,Nintendo,E,147,8.6,2007
0,0,Nintendo,0K,Platform,5190000,1333K,1459K,Super Mario Land 3: Wario Land,1,0K,Nintendo,E,0,0,1994
0,0,Nintendo,0K,Platform,5150000,1778K,1459K,Donkey Kong Country 2: Diddy's Kong Quest,1,0K,Nintendo,E,0,0,1995
171,8.7,Blizzard Entertainment,4416K,Role-Playing,10940000,0K,4376K,Diablo III,1,982K,Activision,M,10570,5.666666667,2012
77,6.7,EA LA,2208K,Shooter,6720000,0K,2917K,Medal of Honor: Rising Sun,1,491K,Electronic Arts,T,141,6.6,2003
0,0,Nintendo,0K,Platform,5130000,1333K,1459K,Kirby's Dream Land,1,0K,Nintendo,E,0,0,1992
0,0,Microsoft Game Studios,1104K,Simulation,5120000,0K,2917K,Microsoft Flight Simulator,1,0K,Microsoft Game Studios,E,0,0,1996
124,9.2,Harmonix Music Systems,0K,Misc,7320000,0K,4376K,Guitar Hero II,1,491K,RedOctane,T,332,8.3,2006
127,7.75,Lionhead Studios,1104K,Role-Playing,5420000,0K,2917K,Fable III,1,0K,Microsoft Game Studios,M,1159,5.95,2010
197,8.433333333,Capcom,2208K,Action,8660000,889K,2917K,Resident Evil 5,1,982K,Capcom,M,1787,7.366666667,2009
57,9,Nintendo,1104K,Action,5080000,889K,1459K,The Legend of Zelda: Phantom Hourglass,1,0K,Nintendo,E,416,8,2007
156,8.02,EA Sports,6624K,Sports,11800000,0K,1459K,FIFA Soccer 11,1,1963K,Electronic Arts,E,514,7.083333333,2010
8,9.1,Capcom,1104K,Action,5340000,1333K,1459K,Resident Evil,1,491K,Virgin Interactive,M,266,9,1996
87,8.05,Rockstar Leeds,1104K,Action,6000000,0K,1459K,Grand Theft Auto: Vice City Stories,1,982K,Take-Two Interactive,M,217,7.95,2006
18,9.2,Neversoft Entertainment,1104K,Sports,8460000,0K,5835K,Tony Hawk's Pro Skater,1,0K,Activision,T,69,9.2,1999
0,0,Eidos Interactive,1104K,Strategy,5010000,0K,1459K,Warzone 2100,1,0K,Eidos Interactive,T,0,0,1999
0,0,Sony Computer Entertainment,1104K,Platform,5000000,0K,2917K,Spyro the Dragon,1,0K,Sony Computer Entertainment,RP,0,0,1998
189,8.3,"Neversoft Entertainment, BudCat",2208K,Misc,16370000,0K,10211K,Guitar Hero III: Legends of Rock,1,2454K,Activision,T,413,7.9,2007
34,6.8,Nintendo,1104K,Shooter,4980000,0K,2917K,Link's Crossbow Training,1,0K,Nintendo,T,47,7.1,2007
0,0,Nintendo,1104K,Role-Playing,4930000,1333K,1459K,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,1,0K,Nintendo,E,0,0,2007
189,9.133333333,Bethesda Game Studios,2208K,Role-Playing,9850000,0K,4376K,Fallout 3,1,982K,Bethesda Softworks,M,6015,8.133333333,2008
66,8.8,"Naughty Dog, SCE/WWS",1104K,Action,4920000,0K,1459K,Uncharted: Drake's Fortune,1,491K,Sony Computer Entertainment,T,2306,8.1,2007
169,7.916666667,EA Sports,0K,Sports,8800000,0K,7293K,Madden NFL 06,1,491K,Electronic Arts,E,245,7.05,2005
0,0,Nintendo,0K,Racing,4880000,889K,1459K,Diddy Kong Racing,1,0K,Nintendo,E,0,0,1997
0,0,Capcom,0K,Role-Playing,4870000,4445K,0K,Monster Hunter Freedom 3,1,0K,Capcom,T,0,0,2010
82,9.3,Blizzard Entertainment,1104K,Strategy,4840000,0K,1459K,StarCraft II: Wings of Liberty,1,491K,Activision,T,3052,8.2,2010
101,9.2,SCE Santa Monica,1104K,Action,5450000,0K,2917K,God of War III,1,491K,Sony Computer Entertainment,M,2633,8.7,2010
20,8.8,Naughty Dog,1104K,Racing,4790000,0K,1459K,Crash Team Racing,1,0K,Sony Computer Entertainment,E,233,9,1999
14,6.2,Reflections Interactive,1104K,Action,4730000,0K,1459K,Driver 2,1,0K,Atari,T,92,7.7,2000
0,0,Vivendi Games,2208K,Racing,7040000,0K,2917K,The Simpsons: Hit & Run,1,491K,Vivendi Games,E10+,0,0,2003
35,9.65,Neversoft Entertainment,1104K,Sports,6620000,0K,4376K,Tony Hawk's Pro Skater 2,1,0K,Activision,T,321,7.6,2000
62,8.1,Stormfront Studios,2208K,Action,6650000,0K,2917K,The Lord of the Rings: The Two Towers,1,491K,Electronic Arts,T,119,8.333333333,2002
31,8.85,Core Design Ltd.,1104K,Action,5660000,0K,2917K,Tomb Raider,1,0K,Eidos Interactive,T,3699,8.55,1996
50,7.3,Nintendo,1104K,Simulation,4620000,889K,1459K,Animal Crossing: City Folk,1,0K,Nintendo,E,119,7.6,2008
78,8.6,Bluepoint Games,1104K,Action,4620000,0K,1459K,Uncharted: The Nathan Drake Collection,1,491K,Sony Computer Entertainment,T,1264,8.1,2015
30,9.5,Nintendo,1104K,Action,7310000,1333K,2917K,The Legend of Zelda: A Link to the Past,1,0K,Nintendo,E,314,9.1,1991
80,9.6,Nintendo,1104K,Action,6390000,889K,2917K,The Legend of Zelda: The Wind Waker,1,0K,Nintendo,E,968,8.9,2002
